Query	Hit	Bits
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|410455509|ref|NZ_AJLS01000120.1| Bacillus bataviensis LMG 21833 contig120, whole genome shotgun sequence	114.683
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|484105579|ref|NZ_ANNK01000124.1| Bacillus ligniniphilus strain L1 contig124, whole genome shotgun sequence	112.432
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|567924782|ref|NZ_ALAN01000044.1| Bacillus vireti LMG 21834 contig44, whole genome shotgun sequence	112.432
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|484105577|ref|NZ_ANNK01000123.1| Bacillus ligniniphilus strain L1 contig123, whole genome shotgun sequence	112.432
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|488570484|ref|NC_021171.1| Bacillus sp. 1NLA3E, complete genome	111.869
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|651534000|ref|NZ_JMLP01000005.1| Bacillus sp. UNC41MFS5 BR30DRAFT_scaffold00003.3_C, whole genome shotgun sequence	111.026
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|212637849|ref|NC_011567.1| Anoxybacillus flavithermus WK1, complete genome	111.026
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|316994385|ref|NC_013791.2| Bacillus pseudofirmus OF4, complete genome	111.026
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|768725744|ref|NZ_JYCE01000138.1| Bacillus alveayuensis strain 24KAM51 LG50_138, whole genome shotgun sequence	110.182
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|926263689|ref|NZ_CP012602.1| Bacillus sp. FJAT-18017 genome	109.619
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|753828171|ref|NZ_CP008855.1| Bacillus sp. X1(2014), complete genome	109.056
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|654942481|ref|NZ_KI632495.1| Bacillus sp. FJAT-14515 genomic scaffold Scaffold1, whole genome shotgun sequence	106.243
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|736757244|ref|NZ_CCDN010000001.1| Bacillus vietnamensis WGS project CCDN000000000 data, strain HD-02, contig 00001, whole genome shotgun sequence	104.555
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|737224211|ref|NZ_BAUW01000004.1| Bacillus boroniphilus JCM 21738 DNA, contig: contig_4, whole genome shotgun sequence	102.304
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|654945119|ref|NZ_AYSE01000001.1| Bacillus sp. FJAT-14578 Scaffold1_1, whole genome shotgun sequence	101.46
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|914640886|ref|NZ_LN868937.1| Bacillus sp. SIT1 genome assembly Bacillus andreraoultii, scaffold scaffold00014, whole genome shotgun sequence	100.898
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|651974820|ref|NZ_KE386941.1| Bacillus aurantiacus DSM 18675 genomic scaffold G476DRAFT_scaffold00001.1, whole genome shotgun sequence	100.335
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|317126741|ref|NC_014829.1| Bacillus cellulosilyticus DSM 2522, complete genome	97.5219
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|170709839|ref|NZ_ABFU01000047.1| Bacillus coahuilensis m4-4 1955101000047, whole genome shotgun sequence	95.8339
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|736741202|ref|NZ_BAUT01000015.1| Bacillus wakoensis JCM 9140 DNA, contig:contig_15, whole genome shotgun sequence	94.4273
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|953334860|ref|NZ_LGPD01000034.1| Virgibacillus soli strain PL205 scaffold000034, whole genome shotgun sequence	93.5833
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|751622797|ref|NZ_JXRP01000019.1| Jeotgalibacillus soli Cunha et al. 2012 strain P9 contig00019, whole genome shotgun sequence	93.5833
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|947816123|ref|NZ_LJIZ01000021.1| Bacillus sp. FJAT-25509 super41, whole genome shotgun sequence	93.5833
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|806494845|ref|NZ_JWJE02000039.1| Bacillus thermotolerans strain SGZ-8 Contig39, whole genome shotgun sequence	92.458
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|551057262|ref|NZ_ATVM01000010.1| Marinococcus halotolerans DSM 16375 G548DRAFT_scaffold00010.10_C, whole genome shotgun sequence	91.3327
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|806830153|ref|NZ_LAJA01000001.1| Domibacillus tundrae strain PAMC 80007 PAMC80007_1_trimmed_contig_1, whole genome shotgun sequence	89.9261
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|654485561|ref|NZ_AUDY01000010.1| Halobacillus kuroshimensis DSM 18393 H615DRAFT_scaffold00003.3_C, whole genome shotgun sequence	84.2996
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|484008177|ref|NZ_KB894701.1| Bacillus fordii DSM 16014 genomic scaffold C509DRAFT_scaffold00017.17, whole genome shotgun sequence	83.1743
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|655906481|ref|NZ_JFZC01000039.1| Sporolactobacillus terrae DSM 11697 contig000039, whole genome shotgun sequence	82.3303
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|654145911|ref|NZ_AUMM01000018.1| [strain=DSM 17572], whole genome shotgun sequence	78.9544
sp|P06535|SP0B_BACSU Sporulation initiation phosphotransferase B OS=Bacillus subtilis (strain 168) GN=spo0B PE=1 SV=1	gi|386712343|ref|NC_017668.1| Halobacillus halophilus DSM 2266 complete genome	75.0158
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|255767013|ref|NC_000964.3| Bacillus subtilis subsp. subtilis str. 168 chromosome, complete genome	446.928
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|545119458|ref|NZ_AVPM01000126.1| Bacillus sp. EGD-AK10 contig9, whole genome shotgun sequence	445.24
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|350264100|ref|NC_016047.1| Bacillus subtilis subsp. spizizenii TU-B-10, complete genome	445.24
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|308171891|ref|NC_014551.1| Bacillus amyloliquefaciens DSM7 complete genome	438.77
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|740748848|ref|NZ_CP007640.1| Bacillus atrophaeus subsp. globigii strain BSS genome	438.207
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|163119169|ref|NC_006270.3| Bacillus licheniformis ATCC 14580, complete genome	420.484
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|458803386|ref|NZ_AOFM01000016.1| Bacillus sonorensis L12 contig16, whole genome shotgun sequence	420.202
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|949745812|ref|NZ_CP012329.1| Bacillus pumilus strain NJ-M2, complete genome	414.857
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|926268043|ref|NZ_CP012600.1| Bacillus sp. FJAT-4402 genome	403.041
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|765540267|ref|NZ_JYCE01000009.1| Bacillus alveayuensis strain 24KAM51 LG50_009, whole genome shotgun sequence	389.538
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|737222840|ref|NZ_JNVC02000011.1| Bacillus cibi strain DSM 16189 Contig11, whole genome shotgun sequence	387.287
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|651524500|ref|NZ_JAEK01000024.1| Bacillus sp. J37 BacJ37DRAFT_c23_C, whole genome shotgun sequence	380.254
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|310775977|ref|NZ_ACPC01000004.1| Bacillus sp. m3-13 Contig53, whole genome shotgun sequence	377.159
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|847264214|ref|NZ_LFEL01000009.1| Bacillus sp. LL01 scaffold9.1, whole genome shotgun sequence	377.159
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|654947184|ref|NZ_AYSE01000015.1| Bacillus sp. FJAT-14578 Scaffold12_1, whole genome shotgun sequence	374.909
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|484063955|ref|NZ_CAPG01000091.1| Bacillus sp. AP8 WGS project CAPG00000000 data, contig 00091, whole genome shotgun sequence	372.94
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|549473062|ref|NC_022524.1| Bacillus infantis NRRL B-14911, complete genome	371.533
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|754215579|ref|NZ_CP007739.1| Bacillus methanolicus MGA3, complete genome	371.252
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|951402598|ref|NZ_LMBY01000016.1| Bacillus sp. FJAT-25496 Contig1, whole genome shotgun sequence	370.97
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|737350090|ref|NZ_APVL01000020.1| Bacillus firmus DS1 scaffold20, whole genome shotgun sequence	370.689
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|768726131|ref|NZ_JYCE01000147.1| Bacillus alveayuensis strain 24KAM51 LG50_147, whole genome shotgun sequence	370.126
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|890672806|ref|NZ_CP011974.1| Bacillus endophyticus strain Hbe603, complete genome	370.126
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|403048282|ref|NZ_HE610991.1| Bacillus timonensis genomic scaffold, scaffold00007, whole genome shotgun sequence	369.001
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|923002437|ref|NZ_LILC01000031.1| Bacillus koreensis strain DSM 16467 Contig2, whole genome shotgun sequence	368.72
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|948028104|ref|NZ_LJIX01000003.1| Bacillus sp. FJAT-18043 super7, whole genome shotgun sequence	368.438
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|651542760|ref|NZ_JMLP01000027.1| Bacillus sp. UNC41MFS5 BR30DRAFT_scaffold00021.21_C, whole genome shotgun sequence	368.157
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|653161304|ref|NZ_JHVN01000021.1| Anoxybacillus tepidamans PS2 N667DRAFT_scaffold00020.20_C, whole genome shotgun sequence	368.157
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|914625112|ref|NZ_LN851186.1| Bacillus sp. SIT10 genome assembly Bacillus testis, scaffold scaffold00009, whole genome shotgun sequence	368.438
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|737213480|ref|NZ_JJRY01000026.1| Bacillus azotoformans MEV2011 M670_Contig0062.26, whole genome shotgun sequence	368.157
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|912851129|ref|NZ_CKVY01000226.1| Streptococcus pneumoniae genome assembly 6823_4#3, scaffold ERS021433SCcontig000226, whole genome shotgun sequence	343.963
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|753828171|ref|NZ_CP008855.1| Bacillus sp. X1(2014), complete genome	368.157
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|749574403|ref|NZ_CCYL01000009.1| Bacillus sp. JCA genome assembly Bacillus saudimassiliensis JCA, contig contig00009, whole genome shotgun sequence	367.876
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|953349853|ref|NZ_LMBW01000015.1| Bacillus humi strain DSM 16318 Scaffold15, whole genome shotgun sequence	367.876
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|295702242|ref|NC_014103.1| Bacillus megaterium DSM319, complete genome	367.876
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|754490596|ref|NZ_CP009920.1| Bacillus megaterium NBRC 15308 = ATCC 14581, complete genome	367.876
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|755103211|ref|NZ_HG942021.1| Bacillus sp. FF4 genomic scaffold, scaffold00011, whole genome shotgun sequence	367.313
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|651573927|ref|NZ_AXVA01000032.1| Bacillus sp. UNC438CL73TsuS30 M028DRAFT_scaffold00022.22_C, whole genome shotgun sequence	367.313
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|484030188|ref|NZ_HE978521.1| Bacillus sp. JC6 genomic scaffold, scaffold00011, whole genome shotgun sequence	367.313
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|922543241|ref|NZ_LGYA01000011.1| Bacillus butanolivorans strain DSM 18926 scaffold7, whole genome shotgun sequence	367.032
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|410454338|ref|NZ_AJLS01000059.1| Bacillus bataviensis LMG 21833 contig59, whole genome shotgun sequence	366.75
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|754999736|ref|NZ_HG428749.1| Bacillus sp. G2(2012b) genomic scaffold, scaffold00009, whole genome shotgun sequence	366.469
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|488570484|ref|NC_021171.1| Bacillus sp. 1NLA3E, complete genome	366.469
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|755000354|ref|NZ_CCFE01000010.1| Bacillus sp. MT2 genome assembly Bacillus rubiinfantis, contig contig00010, whole genome shotgun sequence	365.906
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|654940300|ref|NZ_AYSD01000026.1| Bacillus cihuensis strain FJAT-14515 Scaffold11_1, whole genome shotgun sequence	365.062
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|510832652|ref|NZ_ASRU01000249.1| Bacillus nealsonii AAU1 contig00249, whole genome shotgun sequence	364.781
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|567925258|ref|NZ_ALAN01000057.1| Bacillus vireti LMG 21834 contig57, whole genome shotgun sequence	364.5
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|484109412|ref|NZ_ANOK01000008.1| Bacillus sp. ZYK contig7, whole genome shotgun sequence	363.937
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|651948666|ref|NZ_AUMP01000029.1| [strain=DSM 15865], whole genome shotgun sequence	362.531
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|653071529|ref|NZ_AUER01000044.1| Bacillus sp. URHB0009 H980DRAFT_scaffold00037.37_C, whole genome shotgun sequence	362.531
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|737225094|ref|NZ_BAUW01000067.1| Bacillus boroniphilus JCM 21738 DNA, contig: contig_67, whole genome shotgun sequence	361.968
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|692158547|ref|NZ_CCMN01000008.1| Bacillus aquimaris genome assembly Bacillus aquimaris, contig contig00008, whole genome shotgun sequence	362.249
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|944531004|ref|NZ_LJJC01000004.1| Bacillus shackletonii strain LMG 18435 super11, whole genome shotgun sequence	361.687
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|498482945|ref|NZ_AJTN02000017.1| Bacillus psychrosaccharolyticus ATCC 23296 Contig17, whole genome shotgun sequence	361.124
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|751634053|ref|NZ_JXLO01000011.1| Bacillus badius strain DSM 30822 Contig11, whole genome shotgun sequence	359.717
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|889542405|ref|NZ_CCXR01000001.1| Bacillus sp. B-jedd genome assembly PRJEB5955_assembly_1, contig CONTIG000001, whole genome shotgun sequence	358.592
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|953357047|ref|NZ_LMCA01000028.1| Bacillus farraginis strain DSM 16013 Contig5, whole genome shotgun sequence	357.748
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|392958499|ref|NZ_AKKV01000041.1| Fictibacillus macauensis ZFHKF-1 Contig41, whole genome shotgun sequence	357.748
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|926263689|ref|NZ_CP012602.1| Bacillus sp. FJAT-18017 genome	357.185
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|922762238|ref|NZ_LIGG01000001.1| Bacillus sp. FJAT-27251 scaffold_0, whole genome shotgun sequence	356.904
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|922745296|ref|NZ_LIGF01000001.1| Bacillus sp. FJAT-26652 scaffold_0, whole genome shotgun sequence	356.904
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|1011870167|ref|NZ_KQ758652.1| Bacillus sp. SGD-V-76 genomic scaffold Scaffold26, whole genome shotgun sequence	355.497
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|336233546|ref|NC_015660.1| Geobacillus thermoglucosidasius C56-YS93, complete genome	355.497
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|484008258|ref|NZ_KB894708.1| Bacillus fordii DSM 16014 genomic scaffold C509DRAFT_scaffold00024.24, whole genome shotgun sequence	354.372
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|563649971|ref|NC_022080.4| Geobacillus sp. JF8, complete genome	354.372
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|914640885|ref|NZ_LN868936.1| Bacillus sp. SIT1 genome assembly Bacillus andreraoultii, scaffold scaffold00013, whole genome shotgun sequence	354.372
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|736762481|ref|NZ_CCDN010000010.1| Bacillus vietnamensis WGS project CCDN000000000 data, strain HD-02, contig 00010, whole genome shotgun sequence	353.809
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|1011460377|ref|NZ_CTDX01000001.1| bacterium SIT5 genome assembly Rubiinfantum massiliensis, contig contig00001, whole genome shotgun sequence	353.809
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|763022547|ref|NZ_CM002692.1| Geobacillus stearothermophilus NUB3621 isolate 9A5 chromosome, whole genome shotgun sequence	353.528
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|873918573|ref|NZ_CP012024.1| Bacillus smithii strain DSM 4216, complete genome	352.684
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|56418535|ref|NC_006510.1| Geobacillus kaustophilus HTA426 DNA, complete genome	351.559
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|138893679|ref|NC_009328.1| Geobacillus thermodenitrificans NG80-2, complete genome	351.278
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|738900686|ref|NZ_AVBG01000023.1| Pontibacillus chungwhensis BH030062 contig21, whole genome shotgun sequence	350.715
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|902803962|ref|NZ_LFZV01000001.1| Bacillus sp. FJAT-27916 Scaffold1, whole genome shotgun sequence	350.715
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|736763571|ref|NZ_CCRF01000006.1| Bacillus thermoamylovorans genome assembly A1A, contig A1A_CC6, whole genome shotgun sequence	350.152
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|852233136|ref|NZ_LELK01000011.1| Anaerobacillus macyae strain DSM 16346 Contig1, whole genome shotgun sequence	349.59
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|806494798|ref|NZ_JWJE02000024.1| Bacillus thermotolerans strain SGZ-8 Contig24, whole genome shotgun sequence	347.902
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|873896433|ref|NZ_CVPE01000004.1| Bacillaceae bacterium mt6 genome assembly Rubeoparvulum massiliensis, contig contig00004, whole genome shotgun sequence	345.932
sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) GN=sigH PE=1 SV=1	gi|751617594|ref|NZ_JXRP01000005.1| Jeotgalibacillus soli Cunha et al. 2012 strain P9 contig00005, whole genome shotgun sequence	345.651
